Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0003,20.4476,,-0.158856607,-0.094189316,1,0,0,1,,2024-09-24_15h34.13.256,Motor_Task,2023.2.2,Win32,80.64516129,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,2024-09-24_15h34.13.256,Motor_Task,2023.2.2,Win32,80.64516129,20.4957,21.4586,2,1,0.9615,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h34.13.256,Motor_Task,2023.2.2,Win32,80.64516129,21.4589,22,3,1,0.5406,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h34.13.256,Motor_Task,2023.2.2,Win32,80.64516129,22.0004,22.6019,2,1,0.6011,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h34.13.256,Motor_Task,2023.2.2,Win32,80.64516129,22.6023,23.0987,3,1,0.4959,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h34.13.256,Motor_Task,2023.2.2,Win32,80.64516129,23.0991,23.6953,1,1,0.596,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h34.13.256,Motor_Task,2023.2.2,Win32,80.64516129,23.6956,24.272,1,1,0.5763,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h34.13.256,Motor_Task,2023.2.2,Win32,80.64516129,24.2724,24.8588,3,1,0.586,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h34.13.256,Motor_Task,2023.2.2,Win32,80.64516129,24.8591,25.3577,2,1,0.4983,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h34.13.256,Motor_Task,2023.2.2,Win32,80.64516129,25.3581,25.8907,4,1,0.5323,,0,8,8,8,1,9,L,,4,,,,,,,
