Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,52.0319,52.5815,2,1,0.5376,,10,2,102,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,52.582,52.9817,3,1,0.3869,,10,3,103,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,52.9822,53.548,1,1,0.5568,,10,4,104,4,1,5,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,53.5484,54.0316,1,1,0.4706,,10,5,105,5,1,6,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,54.032,54.6487,3,1,0.6163,,10,6,106,6,1,7,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,54.6491,55.0482,2,1,0.3982,,10,7,107,7,1,8,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,55.0486,55.6485,4,1,0.5871,,10,8,108,8,1,9,L,,4,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,55.6488,56.115,1,1,0.4656,,10,9,109,9,1,10,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,56.1153,56.5485,2,1,0.4328,,11,0,110,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,56.5489,56.9316,3,1,0.3705,,11,1,111,1,1,2,R,,3,,,,,,,
