Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,203.6431,204.1266,1,1,0.4813,,14,4,144,4,1,5,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,204.1269,204.7261,1,1,0.5972,,14,5,145,5,1,6,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,204.7262,205.4098,3,1,0.6799,,14,6,146,6,1,7,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,205.4102,205.8926,2,1,0.4752,,14,7,147,7,1,8,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,205.8929,206.3927,4,1,0.4899,,14,8,148,8,1,9,L,,4,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,206.3929,206.9426,1,1,0.5435,,14,9,149,9,1,10,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,206.9429,207.4263,2,1,0.4814,,15,0,150,0,1,1,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,207.4266,207.9427,3,1,0.515,,15,1,151,1,1,2,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,207.943,208.4258,2,1,0.4807,,15,2,152,2,1,3,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,208.426,209.0594,3,1,0.6316,,15,3,153,3,1,4,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,209.0596,209.7426,1,1,0.6807,,15,4,154,4,1,5,I,,1,,,,,,,
