Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0005,25.1865,,-0.01992513,-0.278134494,1,0,0,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,25.2592,27.4132,2,1,2.1491,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,27.4137,28.4903,3,1,1.0758,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,28.4907,29.5609,2,1,1.0698,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,29.5616,30.3324,3,1,0.7705,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,30.3329,31.2962,1,1,0.9629,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,31.2965,32.0475,1,1,0.7468,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,32.0478,32.8993,3,1,0.8511,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,32.8996,33.6748,2,1,0.7705,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,33.6753,34.9991,4,1,1.3229,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,34.9996,35.815,1,1,0.8136,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,35.8164,36.62,2,1,0.8031,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,36.6203,37.2881,3,1,0.6674,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,37.2884,38.0023,2,1,0.7135,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,38.0026,38.82,3,1,0.8171,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,38.8203,39.6647,1,1,0.8419,,1,4,14,4,1,5,I,,1,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,39.665,40.5867,1,1,0.9213,,1,5,15,5,1,6,I,,1,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,40.587,42.4704,3,1,1.8829,,1,6,16,6,1,7,R,,3,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,42.4707,43.3322,2,1,0.8608,,1,7,17,7,1,8,M,,2,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,43.3328,44.7023,4,1,1.3691,,1,8,18,8,1,9,L,,4,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,44.7025,45.484,1,1,0.781,,1,9,19,9,1,10,I,,1,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,45.4843,46.1847,2,1,0.6986,,2,0,20,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,46.1854,46.9409,3,1,0.7551,,2,1,21,1,1,2,R,,3,,,,,,,
,,,,,,,,1,Ajay Gupta,2023-09-27_15h43.26.016,Motor_Task,2023.2.2,MacIntel,60.0024001,46.9412,47.7846,2,1,0.843,,2,2,22,2,1,3,M,,2,,,,,,,
