Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0003,3.3032,,-0.054342109,-0.069903022,1,0,0,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,3.3262,12.2868,2,1,8.9573,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,12.2871,13.2194,3,1,0.9252,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,13.2196,14.1691,2,1,0.9489,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,14.1694,16.5858,3,1,2.4131,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,16.586,17.4365,1,1,0.8473,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,17.4367,18.07,1,1,0.6225,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,18.0702,18.8196,3,1,0.7386,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,18.8198,20.2858,2,1,1.4644,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,20.2859,21.1694,3,0,0.8765,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,21.1696,21.9525,1,1,0.7808,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,21.9527,22.6364,2,1,0.682,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,22.6366,23.2525,3,1,0.6089,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,23.2526,24.0527,2,1,0.7942,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,24.0529,24.8522,3,1,0.7927,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,24.8526,25.5194,1,1,0.6565,,1,4,14,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,25.5196,26.2022,1,1,0.6765,,1,5,15,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,26.2024,27.1354,3,1,0.932,,1,6,16,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,27.1356,28.0524,2,1,0.9106,,1,7,17,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,28.0526,28.8188,3,0,0.7628,,1,8,18,8,1,9,L,,4,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,28.819,29.5525,1,1,0.7231,,1,9,19,9,1,10,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,29.5528,30.1021,2,1,0.5388,,2,0,20,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,30.1024,31.3193,3,1,1.2087,,2,1,21,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,31.3196,33.6853,2,1,2.3583,,2,2,22,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,33.6855,34.3856,3,1,0.6988,,2,3,23,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,34.3858,35.2358,1,1,0.8394,,2,4,24,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,35.2361,35.8188,1,1,0.5716,,2,5,25,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,35.8191,36.4856,3,1,0.6614,,2,6,26,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,36.4858,37.2028,2,1,0.7144,,2,7,27,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,37.203,38.0522,3,0,0.8468,,2,8,28,8,1,9,L,,4,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,38.0524,39.6353,1,1,1.5759,,2,9,29,9,1,10,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,39.6355,40.5688,2,1,0.927,,3,0,30,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,40.569,41.9187,3,1,1.3457,,3,1,31,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,41.919,43.3533,2,1,1.4325,,3,2,32,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,43.3535,44.1354,3,1,0.7742,,3,3,33,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,44.1356,44.8352,1,1,0.6923,,3,4,34,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,44.8354,45.4354,1,1,0.5934,,3,5,35,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,45.4357,46.1854,3,1,0.7413,,3,6,36,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,46.1856,46.7853,2,1,0.5941,,3,7,37,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,46.7855,47.8525,4,1,1.0605,,3,8,38,8,1,9,L,,4,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,47.8526,48.5357,1,1,0.6751,,3,9,39,9,1,10,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,48.5359,49.2518,2,1,0.7054,,4,0,40,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,49.2519,50.1019,3,1,0.842,,4,1,41,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,50.1022,50.9354,2,1,0.8311,,4,2,42,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,50.9357,52.3517,3,1,1.4139,,4,3,43,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,52.352,52.9695,1,1,0.617,,4,4,44,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,52.9697,53.5857,1,1,0.615,,4,5,45,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,53.5859,54.3194,3,1,0.7327,,4,6,46,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,54.3196,54.8685,2,1,0.542,,4,7,47,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h36.12.728,Motor_Task,2023.2.2,MacIntel,59.88023952,54.8688,55.769,4,1,0.8889,,4,8,48,8,1,9,L,,4,,,,,,,
